ÉfÅ[É^ÉRÅ[Éh,MD02'MAMS1AAM2CX12,MD02'MAMS3AAM2CX12,MD02'MAM1NAM3CDMO,MD02'MAM1XAM2M2MO
1982/03,2301405,       ,      ,
1982/04,2311615,       ,      ,
1982/05,2327587,       ,      ,
1982/06,2336502,       ,      ,
1982/07,2364202,       ,      ,
1982/08,2381329,       ,      ,
1982/09,2394657,       ,      ,
1982/10,2408976,       ,      ,
1982/11,2421128,       ,      ,
1982/12,2432650,       ,      ,
1983/01,2445897,       ,      ,
1983/02,2457160,       ,      ,
1983/03,2471422,       ,      ,
1983/04,2487755,       ,      ,
1983/05,2504274,       ,      ,
1983/06,2519538,       ,      ,
1983/07,2533052,       ,      ,
1983/08,2547938,       ,      ,
1983/09,2565229,       ,      ,
1983/10,2582145,       ,      ,
1983/11,2587423,       ,      ,
1983/12,2615629,       ,      ,
1984/01,2630450,       ,      ,
1984/02,2648160,       ,      ,
1984/03,2674968,       ,      ,
1984/04,2678058,       ,      ,
1984/05,2694832,       ,      ,
1984/06,2711776,       ,      ,
1984/07,2729621,       ,      ,
1984/08,2747128,       ,      ,
1984/09,2769986,       ,      ,
1984/10,2782667,       ,      ,
1984/11,2798383,       ,      ,
1984/12,2818301,       ,      ,
1985/01,2837120,       ,      ,
1985/02,2857134,       ,      ,
1985/03,2882738,       ,      ,
1985/04,2902696,       ,      ,
1985/05,2920305,       ,      ,
1985/06,2938533,       ,      ,
1985/07,2957059,       ,      ,
1985/08,2975170,       ,      ,
1985/09,2997930,       ,      ,
1985/10,3023348,       ,      ,
1985/11,3050767,       ,      ,
1985/12,3080382,       ,      ,
1986/01,3092336,       ,      ,
1986/02,3111836,       ,      ,
1986/03,3138318,       ,      ,
1986/04,3147672,       ,      ,
1986/05,3166789,       ,      ,
1986/06,3193753,       ,      ,
1986/07,3217397,       ,      ,
1986/08,3238700,       ,      ,
1986/09,3264091,       ,      ,
1986/10,3280015,       ,      ,
1986/11,3303397,       ,      ,
1986/12,3334641,       ,      ,
1987/01,3359091,       ,      ,
1987/02,3382353,       ,      ,
1987/03,3418831,       ,      ,
1987/04,3455014,       ,      ,
1987/05,3489382,       ,      ,
1987/06,3519716,       ,      ,
1987/07,3551745,       ,      ,
1987/08,3592358,       ,      ,
1987/09,3627562,       ,      ,
1987/10,3659481,       ,      ,
1987/11,3708964,       ,      ,
1987/12,3721712,       ,      ,
1988/01,3760398,       ,      ,
1988/02,3798603,       ,      ,
1988/03,3822024,       ,      ,
1988/04,3845237,       ,      ,
1988/05,3887759,       ,      ,
1988/06,3916914,       ,      ,
1988/07,3947911,       ,      ,
1988/08,3984270,       ,      ,
1988/09,4014216,       ,      ,
1988/10,4057598,       ,      ,
1988/11,4091169,       ,      ,
1988/12,4114265,       ,      ,
1989/01,4138156,       ,      ,
1989/02,4194275,       ,      ,
1989/03,4220065,       ,      ,
1989/04,4234516,       ,      ,
1989/05,4252719,       ,      ,
1989/06,4287644,       ,      ,
1989/07,4333240,       ,      ,
1989/08,4368390,       ,      ,
1989/09,4399046,       ,      ,
1989/10,4439019,       ,      ,
1989/11,4494961,       ,      ,
1989/12,4556322,       ,      ,
1990/01,4615556,       ,      ,
1990/02,4693577,       ,      ,
1990/03,4716531,       ,      ,
1990/04,4790055,       ,      ,
1990/05,4813021,       ,      ,
1990/06,4824587,       ,      ,
1990/07,4859955,       ,      ,
1990/08,4887921,       ,      ,
1990/09,4925391,       ,      ,
1990/10,4954965,       ,      ,
1990/11,4939055,       ,      ,
1990/12,4949835,       ,      ,
1991/01,4960055,       ,      ,
1991/02,4960755,       ,      ,
1991/03,4961879,       ,      ,
1991/04,4971770,       ,      ,
1991/05,4984499,       ,      ,
1991/06,4997668,       ,      ,
1991/07,5019116,       ,      ,
1991/08,5018687,       ,      ,
1991/09,5037480,       ,      ,
1991/10,5053526,       ,      ,
1991/11,5058633,       ,      ,
1991/12,5055281,       ,      ,
1992/01,5053800,       ,      ,
1992/02,5045779,       ,      ,
1992/03,5054738,       ,      ,
1992/04,5047586,       ,      ,
1992/05,5033912,       ,      ,
1992/06,5037331,       ,      ,
1992/07,5025583,       ,      ,
1992/08,5030170,       ,      ,
1992/09,5014338,       ,      ,
1992/10,5021331,       ,      ,
1992/11,5031205,       ,      ,
1992/12,5040205,       ,      ,
1993/01,5044002,       ,      ,
1993/02,5054209,       ,      ,
1993/03,5038313,       ,      ,
1993/04,5070852,       ,      ,
1993/05,5101443,       ,      ,
1993/06,5103728,       ,      ,
1993/07,5102816,       ,      ,
1993/08,5113375,       ,      ,
1993/09,5112228,       ,      ,
1993/10,5115693,       ,      ,
1993/11,5110916,       ,      ,
1993/12,5114782,       ,      ,
1994/01,5125230,       ,      ,
1994/02,5130318,       ,      ,
1994/03,5137675,       ,      ,
1994/04,5176256,       ,      ,
1994/05,5179058,       ,      ,
1994/06,5176755,       ,      ,
1994/07,5202167,       ,      ,
1994/08,5212986,       ,      ,
1994/09,5234921,       ,      ,
1994/10,5244190,       ,      ,
1994/11,5249900,       ,      ,
1994/12,5267179,       ,      ,
1995/01,5283914,       ,      ,
1995/02,5310140,       ,      ,
1995/03,5318575,       ,      ,
1995/04,5332021,       ,      ,
1995/05,5332916,       ,      ,
1995/06,5335892,       ,      ,
1995/07,5343549,       ,      ,
1995/08,5354112,       ,      ,
1995/09,5375870,       ,      ,
1995/10,5378036,       ,      ,
1995/11,5422867,       ,      ,
1995/12,5435877,       ,      ,
1996/01,5444218,       ,      ,
1996/02,5455541,       ,      ,
1996/03,5476778,       ,      ,
1996/04,5479765,       ,      ,
1996/05,5501749,       ,      ,
1996/06,5533043,       ,      ,
1996/07,5540198,       ,      ,
1996/08,5552916,       ,      ,
1996/09,5566942,       ,      ,
1996/10,5579465,       ,      ,
1996/11,5591868,       ,      ,
1996/12,5594490,       ,      ,
1997/01,5603395,       ,      ,
1997/02,5609023,       ,      ,
1997/03,5623450,       ,      ,
1997/04,5653218,       ,      ,
1997/05,5667729,       ,      ,
1997/06,5690492,       ,      ,
1997/07,5709752,       ,      ,
1997/08,5730242,       ,      ,
1997/09,5738756,       ,      ,
1997/10,5744288,       ,      ,
1997/11,5769540,       ,      ,
1997/12,5807569,       ,      ,
1998/01,5847675,       ,      ,
1998/02,5885351,       ,      ,
1998/03,5878176,       ,      ,
1998/04,5857971,5886427,      ,
1998/05,5884900,5909245,      ,
1998/06,5886293,5912661,      ,
1998/07,5912800,5940296,      ,
1998/08,5949530,5974788,      ,
1998/09,5962872,5992115,      ,
1998/10,5966535,5994107,      ,
1998/11,6018999,6046542,      ,
1998/12,6037997,6064699,      ,
1999/01,6054645,6080885,      ,
1999/02,6083229,6109466,      ,
1999/03,6099703,6125936,      ,
1999/04,       ,6115245,      ,
1999/05,       ,6146889,      ,
1999/06,       ,6167545,      ,
1999/07,       ,6174875,      ,
1999/08,       ,6186141,      ,
1999/09,       ,6192033,      ,
1999/10,       ,6206902,      ,
1999/11,       ,6221075,      ,
1999/12,       ,6229419,      ,
2000/01,       ,6237917,      ,
2000/02,       ,6235997,      ,
2000/03,       ,6247943,      ,
2000/04,       ,6288926,      ,
2000/05,       ,6279282,      ,
2000/06,       ,6284454,      ,
2000/07,       ,6294791,      ,
2000/08,       ,6300062,      ,
2000/09,       ,6312214,      ,
2000/10,       ,6335860,      ,
2000/11,       ,6337847,      ,
2000/12,       ,6359058,      ,
2001/01,       ,6376303,      ,
2001/02,       ,6395484,      ,
2001/03,       ,6405925,      ,
2001/04,       ,6432776,      ,
2001/05,       ,6446240,      ,
2001/06,       ,6462539,      ,
2001/07,       ,6478632,      ,
2001/08,       ,6487009,      ,
2001/09,       ,6508082,      ,
2001/10,       ,6517002,      ,
2001/11,       ,6527526,      ,
2001/12,       ,6576819,      ,
2002/01,       ,6602844,      ,
2002/02,       ,6620554,      ,
2002/03,       ,6643710,      ,
2002/04,       ,6662024,      ,
2002/05,       ,6671176,      ,
2002/06,       ,6680978,      ,
2002/07,       ,6689932,      ,
2002/08,       ,6706467,      ,
2002/09,       ,6711295,      ,
2002/10,       ,6728432,      ,
2002/11,       ,6733563,      ,
2002/12,       ,6727668,      ,
2003/01,       ,6737133,      ,
2003/02,       ,6748918,      ,
2003/03,       ,6755920,      ,
2003/04,       ,6754327,173999,6726629
2003/05,       ,6779131,168883,6746203
2003/06,       ,6799144,185740,6766012
2003/07,       ,6807713,194631,6775023
2003/08,       ,6835334,195108,6802308
2003/09,       ,6822854,189042,6789561
2003/10,       ,6826944,190823,6795636
2003/11,       ,6831613,190536,6800409
2003/12,       ,6834142,191478,6802865
2004/01,       ,6846966,194431,6817487
2004/02,       ,6862780,200667,6833691
2004/03,       ,6870637,198116,6843903
2004/04,       ,6884649,201900,6852890
2004/05,       ,6914349,203774,6880929
2004/06,       ,6918195,228405,6884932
2004/07,       ,6933337,231998,6901476
2004/08,       ,6960098,236759,6928968
2004/09,       ,6953521,231506,6921214
2004/10,       ,6961324,222587,6928854
2004/11,       ,6964667,225534,6933796
2004/12,       ,6973245,217421,6941305
2005/01,       ,6983314,217910,6951031
2005/02,       ,6989713,220446,6957342
2005/03,       ,7010423,210657,6982590
2005/04,       ,7010806,206387,6974876
2005/05,       ,7018622,204919,6983604
2005/06,       ,7030626,230559,6996099
2005/07,       ,7052249,240446,7017263
2005/08,       ,7076809,244655,7040607
2005/09,       ,7090097,236727,7056812
2005/10,       ,7094622,215493,7061656
2005/11,       ,7105759,233007,7071930
2005/12,       ,7106372,219696,7072691
2006/01,       ,7107528,225324,7072475
2006/02,       ,7111583,225527,7074345
2006/03,       ,7114265,215400,7077459
2006/04,       ,7129136,214358,7085734
2006/05,       ,7112671,203057,7076580
2006/06,       ,7112445,219647,7070977
2006/07,       ,7093705,214860,7055466
2006/08,       ,7112426,219716,7071749
2006/09,       ,7133570,227136,7093151
2006/10,       ,7138123,219908,7100591
2006/11,       ,7149763,240647,7113395
2006/12,       ,7157832,228902,7123415
2007/01,       ,7172528,231794,7135781
2007/02,       ,7184253,230380,7142920
2007/03,       ,7190814,222054,7153772
2007/04,       ,7206035,213675,7167169
2007/05,       ,7217698,203211,7179914
2007/06,       ,7241321,232286,7194427
2007/07,       ,7241694,226396,7201047
2007/08,       ,7243219,233480,7195843
2007/09,       ,7260427,233885,7215731
2007/10,       ,7276387,229831,7234674
2007/11,       ,7291814,239581,7256878
2007/12,       ,7304739,224442,7275054
2008/01,       ,7325056,227930,7290168
2008/02,       ,7351229,235548,7309173
2008/03,       ,7353852,225560,7315884
2008/04,       ,7339186,228624,7302153
2008/05,       ,       ,225057,7326753
2008/06,       ,       ,248711,7349598
2008/07,       ,       ,238608,7354541
2008/08,       ,       ,244705,7367234
2008/09,       ,       ,246529,7372597
2008/10,       ,       ,230071,7364023
2008/11,       ,       ,232515,7387934
2008/12,       ,       ,226362,7411681
2009/01,       ,       ,231362,7436746
2009/02,       ,       ,238012,7466415
2009/03,       ,       ,227022,7482590
2009/04,       ,       ,235399,7496907
2009/05,       ,       ,228860,7520215
2009/06,       ,       ,247215,7531336
2009/07,       ,       ,248502,7553954
2009/08,       ,       ,250759,7572979
2009/09,       ,       ,256678,7591166
2009/10,       ,       ,254713,7610217
2009/11,       ,       ,265083,7629972
2009/12,       ,       ,256879,7642413
2010/01,       ,       ,258647,7662592
2010/02,       ,       ,265622,7675059
2010/03,       ,       ,260990,7685374
2010/04,       ,       ,278989,7710685
2010/05,       ,       ,274106,7751842
2010/06,       ,       ,305271,7747706
2010/07,       ,       ,306411,7759176
2010/08,       ,       ,321568,7784038
2010/09,       ,       ,330118,7801365
2010/10,       ,       ,323416,7818367
2010/11,       ,       ,331597,7824110
2010/12,       ,       ,309285,7821719
2011/01,       ,       ,312723,7842013
2011/02,       ,       ,312695,7862673
2011/03,       ,       ,286155,7884928
2011/04,       ,       ,277034,7918603
2011/05,       ,       ,279247,7960050
2011/06,       ,       ,316601,7966264
2011/07,       ,       ,317538,7986986
2011/08,       ,       ,319194,7995114
2011/09,       ,       ,318198,8015119
2011/10,       ,       ,310973,8037216
2011/11,       ,       ,329661,8056780
2011/12,       ,       ,307380,8065075
2012/01,       ,       ,308909,8080779
2012/02,       ,       ,309929,8093576
2012/03,       ,       ,305433,8115592
2012/04,       ,       ,312181,8125554
2012/05,       ,       ,309017,8134646
2012/06,       ,       ,339562,8145799
2012/07,       ,       ,341010,8171403
2012/08,       ,       ,338465,8193338
2012/09,       ,       ,328218,8211167
2012/10,       ,       ,327029,8220616
2012/11,       ,       ,339937,8223442
2012/12,       ,       ,329089,8266422
2013/01,       ,       ,327998,8294173
2013/02,       ,       ,333725,8326813
2013/03,       ,       ,323914,8361907
2013/04,       ,       ,331758,8385815
2013/05,       ,       ,322341,8417380
2013/06,       ,       ,339122,8456354
2013/07,       ,       ,334881,8480045
2013/08,       ,       ,337712,8505725
2013/09,       ,       ,340691,8531320
2013/10,       ,       ,337152,8559871
2013/11,       ,       ,359055,8576330
2013/12,       ,       ,346899,8610029
2014/01,       ,       ,349001,8647465
2014/02,       ,       ,347469,8653690
2014/03,       ,       ,333375,8661784
2014/04,       ,       ,337312,8678848
2014/05,       ,       ,335699,8690720
2014/06,       ,       ,362290,8714836
2014/07,       ,       ,366672,8735179
2014/08,       ,       ,365833,8761048
2014/09,       ,       ,371725,8795215
2014/10,       ,       ,370232,8829421
2014/11,       ,       ,385913,8875711
2014/12,       ,       ,378997,8909737
2015/01,       ,       ,379540,8931618
2015/02,       ,       ,365743,8954040
2015/03,       ,       ,352458,8977880
2015/04,       ,       ,351179,8994666
2015/05,       ,       ,347563,9040611
2015/06,       ,       ,371929,9052630
2015/07,       ,       ,378304,9082114
2015/08,       ,       ,380186,9122828
2015/09,       ,       ,379832,9127936
2015/10,       ,       ,376602,9147691
2015/11,       ,       ,395224,9163439
2015/12,       ,       ,391816,9182492
2016/01,       ,       ,392957,9208299
2016/02,       ,       ,365110,9231335
2016/03,       ,       ,324938,9254126
2016/04,       ,       ,300454,9291555
2016/05,       ,       ,298348,9332876
2016/06,       ,       ,326751,9355540
2016/07,       ,       ,322657,9383279
2016/08,       ,       ,321663,9409644
2016/09,       ,       ,324492,9440159
2016/10,       ,       ,312664,9473318
2016/11,       ,       ,328854,9510163
2016/12,       ,       ,316740,9539062
2017/01,       ,       ,316831,9571779
2017/02,       ,       ,311546,9613293
2017/03,       ,       ,306099,9641429
2017/04,       ,       ,304304,9657085
2017/05,       ,       ,293265,9684378
2017/06,       ,       ,323156,9722930
2017/07,       ,       ,323524,9758683
2017/08,       ,       ,320596,9785149
2017/09,       ,       ,322611,9822186
2017/10,       ,       ,311935,9858411
2017/11,       ,       ,329926,9890984
2017/12,       ,       ,316084,9879945
2018/01,       ,       ,312365,9899964
2018/02,       ,       ,      ,
2018/03,       ,       ,      ,
2018/04,       ,       ,      ,
2018/05,       ,       ,      ,
2018/06,       ,       ,      ,
2018/07,       ,       ,      ,
2018/08,       ,       ,      ,
2018/09,       ,       ,      ,
2018/10,       ,       ,      ,
2018/11,       ,       ,      ,
2018/12,       ,       ,      ,
