データコード,FM02'STRACLCOON,FM02'STRACLUCON
1992/02,5.61842,5.68257
1992/03,5.54613,5.65327
1992/04,4.6875 ,4.76637
1992/05,4.66447,4.74507
1992/06,4.68892,4.75284
1992/07,4.45109,4.53125
1992/08,4.05506,4.11905
1992/09,4.09844,4.22656
1992/10,4.01136,4.07386
1992/11,3.87829,3.94572
1992/12,3.8267 ,3.89489
1993/01,3.83388,3.89967
1993/02,3.20559,3.27632
1993/03,3.13043,3.24185
1993/04,3.11458,3.17857
1993/05,3.14063,3.2066
1993/06,3.14732,3.21429
1993/07,3.20028,3.26278
1993/08,3.06676,3.12926
1993/09,2.79375,2.85781
1993/10,2.44375,2.50781
1993/11,2.43125,2.49531
1993/12,2.37946,2.44196
1994/01,2.26875,2.33125
1994/02,2.17599,2.24013
1994/03,2.14205,2.25
1994/04,2.1125 ,2.175
1994/05,2.02632,2.09046
1994/06,2      ,2.0625
1994/07,2.01935,2.08185
1994/08,2.06522,2.13043
1994/09,2.125  ,2.18906
1994/10,2.17656,2.2375
1994/11,2.20469,2.26719
1994/12,2.22768,2.29315
1995/01,2.18586,2.25
1995/02,2.15469,2.21719
1995/03,2.12358,2.18892
1995/04,1.47031,1.525
1995/05,1.26   ,1.31
1995/06,1.23   ,1.28
1995/07,0.89   ,0.95
1995/08,0.83   ,0.88
1995/09,0.52   ,0.57
1995/10,0.41   ,0.47
1995/11,0.4    ,0.46
1995/12,0.4    ,0.46
1996/01,0.41   ,0.47
1996/02,0.4    ,0.46
1996/03,0.4    ,0.46
1996/04,0.42   ,0.49
1996/05,0.41   ,0.47
1996/06,0.41   ,0.47
1996/07,0.42   ,0.48
1996/08,0.39   ,0.44
1996/09,0.41   ,0.47
1996/10,0.42   ,0.48
1996/11,0.42   ,0.48
1996/12,0.43   ,0.49
1997/01,0.42   ,0.48
1997/02,0.44   ,0.5
1997/03,0.45   ,0.51
1997/04,0.44   ,0.5
1997/05,0.43   ,0.49
1997/06,0.44   ,0.5
1997/07,0.44   ,0.49
1997/08,0.43   ,0.48
1997/09,0.44   ,0.5
1997/10,0.42   ,0.48
1997/11,0.45   ,0.49
1997/12,0.4    ,0.39
1998/01,0.42   ,0.44
1998/02,0.43   ,0.43
1998/03,0.45   ,0.43
1998/04,0.43   ,0.44
1998/05,0.41   ,0.43
1998/06,0.41   ,0.44
1998/07,0.39   ,0.41
1998/08,0.4    ,0.43
1998/09,0.3    ,0.32
1998/10,0.22   ,0.24
1998/11,0.19   ,0.2
1998/12,0.24   ,0.25
1999/01,0.2    ,0.23
1999/02,0.14   ,0.18
1999/03,0.02   ,0.04
1999/04,0.01   ,0.03
1999/05,0.01   ,0.03
1999/06,0.01   ,0.03
1999/07,0.01   ,0.03
1999/08,0.01   ,0.03
1999/09,0.01   ,0.03
1999/10,0.01   ,0.02
1999/11,0.01   ,0.03
1999/12,0.01   ,0.02
2000/01,0.01   ,0.02
2000/02,0.02   ,0.03
2000/03,0.01   ,0.02
2000/04,0.01   ,0.02
2000/05,0.01   ,0.02
2000/06,0.01   ,0.02
2000/07,0.01   ,0.02
2000/08,0.14   ,0.16
2000/09,0.23   ,0.25
2000/10,0.23   ,0.25
2000/11,0.23   ,0.25
2000/12,0.23   ,0.24
2001/01,0.24   ,0.25
2001/02,0.23   ,0.25
2001/03,0.08   ,0.11
2001/04,0.01   ,0.02
2001/05,0.01   ,0.02
2001/06,0.01   ,0.02
2001/07,0.01   ,0.01
2001/08,0.01   ,0.01
2001/09,0.003  ,0.005
2001/10,0.001  ,0.003
2001/11,0.001  ,0.002
2001/12,0.001  ,0.002
2002/01,0.001  ,0.001
2002/02,0.001  ,0.001
2002/03,0.001  ,0.002
2002/04,0.001  ,0.001
2002/05,0.001  ,0.001
2002/06,0.001  ,0.001
2002/07,0.001  ,0.002
2002/08,0.001  ,0.002
2002/09,0.001  ,0.005
2002/10,0.001  ,0.002
2002/11,0.001  ,0.002
2002/12,0.001  ,0.002
2003/01,0.001  ,0.002
2003/02,0.001  ,0.001
2003/03,0.001  ,0.002
2003/04,0.001  ,0.001
2003/05,0.001  ,0.001
2003/06,0.001  ,0.001
2003/07,0.001  ,0.002
2003/08,0.001  ,0.001
2003/09,0.001  ,0.002
2003/10,0.001  ,0.001
2003/11,0.001  ,0.001
2003/12,0.001  ,0.001
2004/01,0.001  ,0
2004/02,0.001  ,0.001
2004/03,0.001  ,0.001
2004/04,0.001  ,0
2004/05,0.001  ,0.001
2004/06,0.001  ,0.001
2004/07,0.001  ,0
2004/08,0.001  ,0.001
2004/09,0.001  ,0.001
2004/10,0.001  ,0.001
2004/11,0.001  ,0.001
2004/12,0.001  ,0.001
2005/01,0.001  ,0.001
2005/02,0.001  ,0.001
2005/03,0.001  ,0.002
2005/04,0.001  ,0.001
2005/05,0.001  ,0.001
2005/06,0.001  ,0.001
2005/07,0.001  ,0.001
2005/08,0.001  ,0.001
2005/09,0.001  ,0.001
2005/10,0.001  ,0.001
2005/11,0.001  ,0.001
2005/12,0.001  ,0.001
2006/01,0.001  ,0.001
2006/02,0.001  ,0.001
2006/03,0.001  ,0.002
2006/04,0.001  ,0.002
2006/05,0.002  ,0.02
2006/06,0.013  ,0.036
2006/07,0.116  ,0.155
2006/08,0.209  ,0.25
2006/09,0.212  ,0.261
2006/10,0.211  ,0.254
2006/11,0.212  ,0.257
2006/12,0.213  ,0.255
2007/01,0.232  ,0.267
2007/02,0.3    ,0.357
2007/03,0.457  ,0.509
2007/04,0.453  ,0.511
2007/05,0.453  ,0.521
2007/06,0.452  ,0.51
2007/07,0.449  ,0.499
2007/08,0.439  ,0.485
2007/09,0.454  ,0.51
2007/10,0.451  ,0.506
2007/11,0.45   ,0.5
2007/12,0.453  ,0.497
2008/01,0.45   ,0.502
2008/02,0.45   ,0.504
2008/03,0.453  ,0.511
2008/04,0.45   ,0.506
2008/05,0.45   ,0.505
2008/06,0.452  ,0.509
2008/07,0.45   ,0.503
2008/08,0.45   ,0.504
2008/09,0.451  ,0.495
2008/10,0.441  ,0.487
2008/11,0.26   ,0.301
2008/12,0.201  ,0.211
2009/01,0.08   ,0.12
2009/02,0.08   ,0.111
2009/03,0.08   ,0.1
2009/04,0.08   ,0.104
2009/05,0.08   ,0.102
2009/06,0.08   ,0.104
2009/07,0.08   ,0.102
2009/08,0.08   ,0.106
2009/09,0.08   ,0.102
2009/10,0.08   ,0.106
2009/11,0.08   ,0.105
2009/12,0.071  ,0.101
2010/01,0.07   ,0.096
2010/02,0.07   ,0.101
2010/03,0.07   ,0.097
2010/04,0.07   ,0.093
2010/05,0.07   ,0.091
2010/06,0.07   ,0.095
2010/07,0.07   ,0.094
2010/08,0.07   ,0.095
2010/09,0.07   ,0.091
2010/10,0.062  ,0.091
2010/11,0.061  ,0.091
2010/12,0.06   ,0.087
2011/01,0.06   ,0.085
2011/02,0.06   ,0.093
2011/03,0.06   ,0.085
2011/04,0.059  ,0.062
2011/05,0.059  ,0.069
2011/06,0.059  ,0.069
2011/07,0.05   ,0.073
2011/08,0.05   ,0.081
2011/09,0.05   ,0.08
2011/10,0.05   ,0.081
2011/11,0.05   ,0.077
2011/12,0.05   ,0.078
2012/01,0.05   ,0.08
2012/02,0.05   ,0.085
2012/03,0.05   ,0.084
2012/04,0.05   ,0.075
2012/05,0.05   ,0.084
2012/06,0.05   ,0.076
2012/07,0.05   ,0.084
2012/08,0.05   ,0.086
2012/09,0.05   ,0.085
2012/10,0.05   ,0.085
2012/11,0.05   ,0.086
2012/12,0.05   ,0.082
2013/01,0.05   ,0.083
2013/02,0.048  ,0.087
2013/03,0.042  ,0.078
2013/04,0.041  ,0.072
2013/05,0.041  ,0.073
2013/06,0.041  ,0.074
2013/07,0.041  ,0.073
2013/08,0.041  ,0.073
2013/09,0.041  ,0.072
2013/10,0.041  ,0.07
2013/11,0.041  ,0.073
2013/12,0.041  ,0.074
2014/01,0.041  ,0.073
2014/02,0.041  ,0.077
2014/03,0.041  ,0.072
2014/04,0.041  ,0.065
2014/05,0.041  ,0.068
2014/06,0.041  ,0.067
2014/07,0.034  ,0.066
2014/08,0.031  ,0.069
2014/09,0.031  ,0.066
2014/10,0.031  ,0.059
2014/11,0.031  ,0.065
2014/12,0.031  ,0.068
2015/01,0.031  ,0.074
2015/02,0.031  ,0.076
2015/03,0.031  ,0.07
2015/04,0.031  ,0.061
2015/05,0.031  ,0.069
2015/06,0.031  ,0.072
2015/07,0.031  ,0.074
2015/08,0.031  ,0.076
2015/09,0.031  ,0.073
2015/10,0.031  ,0.076
2015/11,0.031  ,0.078
2015/12,0.031  ,0.075
2016/01,0.031  ,0.074
2016/02,0.016  ,0.033
2016/03,0.001  ,-0.003
2016/04,0.001  ,-0.037
2016/05,NA     ,-0.059
2016/06,NA     ,-0.055
2016/07,NA     ,-0.043
2016/08,NA     ,-0.043
2016/09,NA     ,-0.052
2016/10,NA     ,-0.037
2016/11,NA     ,-0.049
2016/12,NA     ,-0.044
2017/01,NA     ,-0.045
2017/02,NA     ,-0.038
2017/03,NA     ,-0.042
2017/04,NA     ,-0.054
2017/05,NA     ,-0.053
2017/06,NA     ,-0.056
2017/07,NA     ,-0.054
2017/08,NA     ,-0.049
2017/09,NA     ,-0.058
2017/10,NA     ,-0.037
2017/11,NA     ,-0.048
2017/12,NA     ,-0.042
2018/01,NA     ,-0.04
2018/02,       ,
2018/03,       ,
2018/04,       ,
2018/05,       ,
2018/06,       ,
2018/07,       ,
2018/08,       ,
2018/09,       ,
2018/10,       ,
2018/11,       ,
2018/12,       ,
